lat,lon,mwd,swh_typical,swh_rough,mwp_typical,mwp_rough,swh_typical_norm,swh_rough_norm
27.0,50.0,355.33008,0.6038055,1.3837597,3.518957,2.3579226,0.23044948462868844,0.24481428905504293
27.0,50.5,339.3906,0.7009502,1.6715132,3.6880085,2.416647,0.28156783758331105,0.30928832609278906
27.0,51.0,328.32913,0.7405205,1.8194838,3.7523704,2.467823,0.3023900404557556,0.342442607169679
27.0,51.5,317.3974,0.7774014,1.9560268,3.8100467,2.4927063,0.32179707912869293,0.37303643788551716
27.0,52.0,305.09915,0.7833477,1.9852216,3.8508582,2.4990988,0.32492609123054234,0.3795778315202909
27.0,52.5,292.49347,0.7297593,1.8918178,3.8722904,2.4785905,0.29672740769707556,0.3586497737022602
27.0,53.0,276.62378,0.5694143,1.4606645,3.8999975,2.4667597,0.21235257059621257,0.2620455716279685
27.0,53.5,,,,,,,
27.0,54.0,,,,,,,
27.0,54.5,,,,,,,
27.0,55.0,,,,,,,
27.0,55.5,,,,,,,
27.0,56.0,181.278,0.28220588,0.57162917,3.117409,2.4239504,0.06122112611816634,0.06284832427303456
27.0,56.5,194.92404,0.36673534,0.8029344,3.346652,2.5999806,0.10570122358383684,0.11467457361958198
27.0,57.0,216.28888,0.34793374,0.69016886,3.3491266,2.5843282,0.0958076670158785,0.08940832585213165
27.0,57.5,,,,,,,
27.0,58.0,,,,,,,
27.0,58.5,,,,,,,
27.0,59.0,,,,,,,
27.0,59.5,,,,,,,
27.0,60.0,,,,,,,
27.0,60.5,,,,,,,
27.0,61.0,,,,,,,
27.0,61.5,,,,,,,
27.0,62.0,,,,,,,
27.0,62.5,,,,,,,
27.0,63.0,,,,,,,
27.0,63.5,,,,,,,
27.0,64.0,,,,,,,
27.0,64.5,,,,,,,
27.0,65.0,,,,,,,
27.0,65.5,,,,,,,
27.0,66.0,,,,,,,
27.0,66.5,,,,,,,
27.0,67.0,,,,,,,
27.0,67.5,,,,,,,
27.0,68.0,,,,,,,
27.0,68.5,,,,,,,
27.0,69.0,,,,,,,
27.0,69.5,,,,,,,
27.0,70.0,,,,,,,
27.0,70.5,,,,,,,
27.0,71.0,,,,,,,
27.0,71.5,,,,,,,
27.0,72.0,,,,,,,
